AIJTY,Finance-Consumer Loans
AIM,Medical-Biomed/Biotech
AIMD,Medical-Biomed/Biotech
AIN,Paper & Paper Products
AINC,Financial Svcs-Specialty
AIO,Finance-Publ Inv Fd-Eqt
AIP,Elec-Semicondctor Fablss
AIQ,Finance-ETF / ETN
AIR,Aerospace/Defense
AIRC,Real Estate Dvlpmt/Ops
AIRE,Real Estate Dvlpmt/Ops
AIRG,Electronic-Parts
AIRI,Aerospace/Defense
AIRJ,Bldg-A/C & Heating Prds
AIRL,Finance-ETF / ETN
AIRR,Finance-ETF / ETN
AIRS,Medical-Systems/Equip
AIRT,Transport-Air Freight
AISP,Computer Sftwr-Enterprse
AIT,Machinery-Tools & Rel
AITR,Finance-Blank Check
AIU,Consumer Svcs-Education
AIV,Finance-Property REIT
AIVI,Finance-ETF / ETN
AIVL,Finance-ETF / ETN
AIXI,Computer Sftwr-Enterprse
AIYY,Finance-ETF / ETN
AIZ,Insurance-Diversified
AJAN,Finance-ETF / ETN
AJG,Insurance-Brokers
AJX,Finance-Property REIT
AKA,Retail-Apparel/Shoes/Acc
AKAM,Computer Sftwr-Enterprse
AKAN,Consumer Prod-Specialty
AKBA,Medical-Biomed/Biotech
AKLI,Medical-Biomed/Biotech
AKOA,Beverages-Non-Alcoholic
AKOB,Beverages-Non-Alcoholic
AKR,Finance-Property REIT
AKRO,Medical-Biomed/Biotech
AKTS,Elec-Semiconductor Mfg
AKTX,Medical-Biomed/Biotech
AKYA,Medical-Systems/Equip
AKZOY,Chemicals-Paints
AL,Comml Svcs-Leasing
ALAB,Elec-Semicondctor Fablss
ALAR,Computer Sftwr-Security
ALB,Chemicals-Specialty
ALBT,Medical-Services
ALC,Medical-Products
ALCC,Finance-Blank Check
ALCE,Energy-Solar
ALCO,Agricultural Operations
ALCY,Finance-Blank Check
ALDX,Medical-Biomed/Biotech
ALE,Utility-Diversified
ALEAF,Consumer Prod-Specialty
ALEC,Medical-Biomed/Biotech
ALEX,Real Estate Dvlpmt/Ops
ALFIQ,Group not available
ALG,Machinery-Farm
ALGM,Elec-Semicondctor Fablss
ALGN,Medical-Products
ALGS,Medical-Biomed/Biotech
ALGT,Transportation-Airline
ALHC,Medical-Managed Care
ALIM,Medical-Biomed/Biotech
ALIT,Computer Sftwr-Enterprse
ALIZY,Insurance-Diversified
ALK,Transportation-Airline
ALKS,Medical-Biomed/Biotech
ALKT,Computer Sftwr-Financial
ALL,Insurance-Prop/Cas/Titl
ALLE,Security/Sfty
ALLG,Energy-Alternative/Other
ALLK,Medical-Biomed/Biotech
ALLO,Medical-Biomed/Biotech
ALLR,Medical-Biomed/Biotech
ALLT,Computer-Networking
ALLY,Financial Svcs-Specialty
ALNT,Electrical-Power/Equipmt
ALNY,Medical-Biomed/Biotech
ALOR,Finance-Blank Check
ALOT,Elec-Misc Products
ALPMY,Medical-Biomed/Biotech
ALPN,Medical-Biomed/Biotech
ALPP,Diversified Operations
ALPSQ,Oil&Gas-Intl Expl&Prod
ALRM,Security/Sfty
ALRN,Medical-Biomed/Biotech
ALRS,Banks-Midwest
ALSA,Finance-Blank Check
ALSN,Auto/Truck-Original Eqp
ALT,Medical-Biomed/Biotech
ALTG,Comml Svcs-Leasing
ALTI,Finance-Investment Mgmt
ALTL,Finance-ETF / ETN
ALTM,Chemicals-Specialty
ALTO,Energy-Alternative/Other
ALTR,Computer Sftwr-Design
ALTY,Finance-ETF / ETN
ALUM,Finance-ETF / ETN
ALUR,Medical-Systems/Equip
ALV,Auto/Truck-Original Eqp
ALVO,Medical-Biomed/Biotech
ALVR,Medical-Biomed/Biotech
ALX,Finance-Property REIT
ALXO,Medical-Biomed/Biotech
ALYAF,Group not available
ALZN,Medical-Biomed/Biotech
AM,Oil&Gas-Integrated
AMADY,Computer-Tech Services
AMAL,Banks-Northeast
AMAT,Elec-Semiconductor Equip
AMAX,Finance-ETF / ETN
AMBA,Elec-Semicondctor Fablss
AMBC,Financial Svcs-Specialty
AMBI,Pollution Control
AMBO,Consumer Svcs-Education
AMBP,Food-Packaged
AMC,Leisure-Movies & Related
AMCR,Containers/Packaging
AMCX,Media-Radio/Tv
AMD,Elec-Semicondctor Fablss
AMDL,Finance-ETF / ETN
AMDS,Finance-ETF / ETN
AMDY,Finance-ETF / ETN
AME,Electrical-Power/Equipmt
AMED,Medical-Outpnt/Hm Care
AMFC,Finance-Savings & Loan
AMG,Finance-Investment Mgmt
AMGN,Medical-Biomed/Biotech
AMH,Finance-Property REIT
AMID,Finance-ETF / ETN
AMIX,Medical-Products
AMJ,Finance-ETF / ETN
AMJB,Finance-ETF / ETN
AMK,Finance-Investment Mgmt
AMKR,Elec-Semiconductor Mfg
AMLI,Mining-Metal Ores
AMLP,Finance-ETF / ETN
AMLX,Medical-Biomed/Biotech
AMN,Comml Svcs-Staffing
AMNA,Finance-ETF / ETN
AMND,Finance-ETF / ETN
AMOM,Finance-ETF / ETN
AMP,Finance-Invest Bnk/Bkrs
AMPD,Finance-ETF / ETN
AMPE,Medical-Ethical Drugs
AMPG,Elec-Semiconductor Mfg
AMPH,Medical-Biomed/Biotech
AMPL,Computer Sftwr-Enterprse
AMPS,Utility-Electric Power
AMPX,Energy-Alternative/Other
AMPY,Oil&Gas-U S Expl&Prod
AMR,Energy-Coal
AMRC,Energy-Alternative/Other
AMRK,Financial Svcs-Specialty
AMRN,Medical-Biomed/Biotech
AMRSQ,Chemicals-Specialty
AMRX,Medical-Generic Drugs
AMS,Medical-Services
AMSC,Electrical-Power/Equipmt
AMSF,Insurance-Prop/Cas/Titl
AMST,Computer Sftwr-Edu/Media
AMSWA,Computer Sftwr-Enterprse
AMT,Finance-Property REIT
AMTB,Banks-Southeast
AMTD,Finance-Investment Mgmt
AMTR,Finance-ETF / ETN
AMTX,Energy-Alternative/Other
AMTY,Auto/Truck-Tires & Misc
AMUB,Finance-ETF / ETN
AMWD,Bldg-Constr Prds/Misc
AMWL,Computer Sftwr-Medical
AMX,Telecom Svcs- Foreign
AMZA,Finance-ETF / ETN
AMZD,Finance-ETF / ETN
AMZN,Retail-Internet
AMZP,Finance-ETF / ETN
AMZU,Finance-ETF / ETN
AMZY,Finance-ETF / ETN
AMZZ,Finance-ETF / ETN
AN,Retail/Whlsle-Automobile
ANAB,Medical-Biomed/Biotech
ANDE,Food-Grain & Related
ANEB,Medical-Biomed/Biotech
ANET,Computer-Networking
ANEW,Finance-ETF / ETN
ANF,Retail-Apparel/Shoes/Acc
ANGH,Computer Sftwr-Edu/Media
ANGI,Internet-Content
ANGL,Finance-ETF / ETN
ANGO,Medical-Products
ANIK,Medical-Biomed/Biotech
ANIP,Medical-Generic Drugs
ANIX,Medical-Biomed/Biotech
ANL,Medical-Biomed/Biotech
ANNX,Medical-Biomed/Biotech
ANPDY,Apparel-Clothing Mfg
ANRO,Medical-Biomed/Biotech
ANSC,Finance-Blank Check
ANSS,Computer Sftwr-Design
ANTE,Comml Svcs-Advertising
ANTX,Medical-Biomed/Biotech
ANVS,Medical-Biomed/Biotech
ANY,Comp Sftwr-Spec Enterprs
AOA,Finance-ETF / ETN
AOD,Finance-Publ Inv Fd-Glbl
AOGO,Finance-Blank Check
AOHY,Finance-ETF / ETN
AOK,Finance-ETF / ETN
AOM,Finance-ETF / ETN
AOMR,Finance-Mortgage REIT
AON,Insurance-Brokers
AONC,Medical-Services
AOR,Finance-ETF / ETN
AORT,Medical-Products
AOS,Bldg-A/C & Heating Prds
AOSL,Elec-Semicondctor Fablss
AOTG,Finance-ETF / ETN
AOUT,Leisure-Products
AP,Steel-Producers
APA,Oil&Gas-Intl Expl&Prod
APAC,Finance-Blank Check
APAM,Finance-Investment Mgmt
APCA,Finance-Blank Check
APCB,Finance-ETF / ETN
APCX,Computer Sftwr-Financial
APD,Chemicals-Specialty
APDN,Medical-Research Eqp/Svc
APEI,Consumer Svcs-Education
APELY,Electronic-Parts
APG,Security/Sfty
APGE,Medical-Biomed/Biotech
APH,Electronic-Parts
API,Computer Sftwr-Enterprse
APIE,Finance-ETF / ETN
APLD,Financial Svcs-Specialty
APLE,Finance-Property REIT
APLM,Medical-Biomed/Biotech
APLS,Medical-Biomed/Biotech
APLT,Medical-Biomed/Biotech
APLY,Finance-ETF / ETN
APM,Medical-Biomed/Biotech
APMU,Finance-ETF / ETN
APO,Finance-Investment Mgmt
APOG,Bldg-Constr Prds/Misc
APP,Comp Sftwr-Spec Enterprs
APPF,Comp Sftwr-Spec Enterprs
APPN,Computer Sftwr-Design
APPS,Computer Sftwr-Enterprse
APRD,Finance-ETF / ETN
APRE,Medical-Biomed/Biotech
APRH,Finance-ETF / ETN
APRJ,Finance-ETF / ETN
APRQ,Finance-ETF / ETN
APRT,Finance-ETF / ETN
APRW,Finance-ETF / ETN
APRZ,Finance-ETF / ETN
APT,Bldg-Constr Prds/Misc
APTO,Medical-Biomed/Biotech
APTV,Auto/Truck-Original Eqp
APUE,Finance-ETF / ETN
APVO,Medical-Biomed/Biotech
APWC,Electrical-Power/Equipmt
APXI,Finance-Blank Check
APYX,Medical-Products
AQB,Medical-Biomed/Biotech
AQMS,Chemicals-Specialty
AQN,Utility-Diversified
AQST,Medical-Biomed/Biotech
AQU,Finance-Blank Check
AQWA,Finance-ETF / ETN
AR,Oil&Gas-U S Expl&Prod
ARAY,Medical-Systems/Equip
ARB,Finance-ETF / ETN
ARBB,Computer-Integrated Syst
ARBE,Auto/Truck-Original Eqp
ARBK,Computer Sftwr-Financial
ARC,Comml Svcs-Document Mgmt
ARCB,Transportation-Truck
ARCC,Finance-Investment Mgmt
ARCH,Energy-Coal
ARCM,Finance-ETF / ETN
ARCO,Retail-Restaurants
ARCT,Medical-Biomed/Biotech
ARDC,Finance-Publ Inv Fd-Bond
ARDS,Medical-Biomed/Biotech
ARDX,Medical-Biomed/Biotech
ARE,Finance-Property REIT
AREB,Retail-Internet
AREC,Energy-Coal
AREN,Internet-Content
ARES,Finance-Investment Mgmt
ARGT,Finance-ETF / ETN
ARGX,Medical-Biomed/Biotech
ARHS,Retail-Home Furnishings
ARI,Finance-Mortgage REIT
ARIS,Pollution Control
ARKA,Finance-ETF / ETN
ARKAY,Chemicals-Specialty
ARKB,Finance-ETF / ETN
ARKC,Finance-ETF / ETN
ARKD,Finance-ETF / ETN
ARKF,Finance-ETF / ETN
ARKG,Finance-ETF / ETN
ARKK,Finance-ETF / ETN
ARKO,Retail-Super/Mini Mkts
ARKQ,Finance-ETF / ETN
ARKR,Retail-Restaurants
ARKW,Finance-ETF / ETN
ARKX,Finance-ETF / ETN
ARKY,Finance-ETF / ETN
ARKZ,Finance-ETF / ETN
ARL,Real Estate Dvlpmt/Ops
ARLO,Security/Sfty
ARLP,Energy-Coal
ARLU,Group not available
ARLUF,Leisure-Gaming/Equip
ARM,Elec-Semicondctor Fablss
ARMK,Comml Svcs-Outsourcing
ARMN,Mining-Gold/Silver/Gems
ARMP,Medical-Generic Drugs
AROC,Oil&Gas-Machinery/Equip
AROW,Banks-Northeast
ARP,Finance-ETF / ETN
ARQ,Pollution Control
ARQQ,Computer Sftwr-Security
ARQT,Medical-Biomed/Biotech
ARR,Finance-Mortgage REIT
ARRW,Finance-Blank Check
ARRY,Energy-Solar
ARTL,Medical-Biomed/Biotech
ARTNA,Utility-Water Supply
ARTW,Machinery-Farm
ARVLF,Auto Manufacturers
ARVN,Medical-Biomed/Biotech
ARVR,Finance-ETF / ETN
ARW,Electronic-Parts
ARWR,Medical-Biomed/Biotech
ARYD,Finance-Blank Check
ARYE,Finance-Blank Check
AS,Leisure-Products
ASA,Finance-Publ Inv Fd-Glbl
ASAI,Retail-Department Stores
ASAN,Computer Sftwr-Enterprse
ASAP,Group not available
ASB,Banks-Midwest
ASBFY,Retail-Apparel/Shoes/Acc
ASC,Oil&Gas-Transprt/Pipelne
ASCA,Finance-Blank Check
ASCB,Finance-Blank Check
ASEA,Finance-ETF / ETN
ASET,Finance-ETF / ETN
ASG,Finance-Publ Inv Fd-Eqt
ASGI,Finance-Publ Inv Fd-Eqt
ASGLY,Bldg-Constr Prds/Misc
ASGN,Comml Svcs-Staffing
ASH,Chemicals-Specialty
ASHR,Finance-ETF / ETN
ASHS,Finance-ETF / ETN
ASIA,Finance-ETF / ETN
ASIX,Chemicals-Plastics
ASLE,Aerospace/Defense
ASLN,Medical-Biomed/Biotech
ASM,Mining-Gold/Silver/Gems
ASMB,Medical-Biomed/Biotech
ASML,Elec-Semiconductor Equip
ASND,Medical-Biomed/Biotech
ASNS,Telecom Svcs-Cable/Satl
ASO,Retail-Leisure Products
ASPI,Chemicals-Specialty
ASPN,Chemicals-Specialty
ASPS,Financial Svcs-Specialty
ASPU,Consumer Svcs-Education
ASR,Real Estate Dvlpmt/Ops
ASRT,Medical-Ethical Drugs
ASRV,Banks-Northeast
ASST,Comml Svcs-Advertising
ASTC,Machinery-Gen Industrial
ASTE,Machinery-Constr/Mining
ASTH,Medical-Managed Care
ASTI,Energy-Solar
ASTL,Steel-Producers
ASTR,Aerospace/Defense
ASTS,Telecom Svcs-Cable/Satl
ASUR,Computer Sftwr-Enterprse
ASX,Elec-Semiconductor Mfg
ASXC,Medical-Systems/Equip
ASYS,Elec-Semiconductor Equip
ATAI,Medical-Biomed/Biotech
ATAT,Leisure-Lodging
ATCH,Computer Sftwr-Financial
ATEC,Medical-Products
ATEK,Finance-Blank Check
ATEN,Computer Sftwr-Enterprse
ATER,Hsehold-Appliances/Wares
ATEX,Telecom Svcs-Wireless
ATEYY,Elec-Semiconductor Equip
ATFV,Finance-ETF / ETN
ATGE,Consumer Svcs-Education
ATGL,Computer-Tech Services
ATHA,Medical-Biomed/Biotech
ATHE,Medical-Biomed/Biotech
ATHM,Internet-Content
ATHXQ,Medical-Biomed/Biotech
ATI,Steel-Specialty Alloys
ATIF,Comml Svcs-Consulting
ATIP,Medical-Services
ATKR,Bldg-Constr Prds/Misc
ATLC,Finance-Consumer Loans
ATLCY,Machinery-Constr/Mining
ATLKY,Machinery-Constr/Mining
ATLO,Banks-Midwest
ATLX,Mining-Metal Ores
ATMC,Finance-Blank Check
ATMP,Finance-ETF / ETN
ATMU,Auto/Truck-Original Eqp
ATMV,Finance-Blank Check
ATNF,Medical-Biomed/Biotech
ATNI,Telecom Svcs- Foreign
ATNM,Medical-Biomed/Biotech
ATO,Utility-Gas Distribution
ATOM,Elec-Semiconductor Equip
ATOS,Medical-Services
ATPC,Cosmetics/Personal Care
ATR,Containers/Packaging
ATRA,Medical-Biomed/Biotech
ATRC,Medical-Systems/Equip
ATRI,Medical-Products
ATRO,Aerospace/Defense
ATROB,Aerospace/Defense
ATS,Machinery-Gen Industrial
ATSG,Transport-Air Freight
ATTOF,Comml Svcs-Outsourcing
ATUS,Telecom Svcs-Cable/Satl
ATXG,Diversified Operations
ATXI,Medical-Biomed/Biotech
ATXS,Medical-Biomed/Biotech
AU,Mining-Gold/Silver/Gems
AUB,Banks-Southeast
AUBN,Banks-Southeast
AUDAQ,Media-Radio/Tv
AUDC,Computer Sftwr-Enterprse
AUGT,Finance-ETF / ETN
AUGW,Finance-ETF / ETN
AUGX,Medical-Services
AUGZ,Finance-ETF / ETN
AUID,Security/Sfty
AULT,Electrical-Power/Equipmt
AUMI,Finance-ETF / ETN
AUMN,Mining-Gold/Silver/Gems
AUNA,Medical-Hospitals
AUPH,Medical-Biomed/Biotech
AUR,Auto/Truck-Original Eqp
AURA,Medical-Biomed/Biotech
AUSF,Finance-ETF / ETN
AUST,Mining-Gold/Silver/Gems
AUTL,Medical-Biomed/Biotech
AUUD,Media-Radio/Tv
AUVI,Bldg-Constr Prds/Misc
AVA,Utility-Diversified
AVAH,Medical-Outpnt/Hm Care
AVAL,Banks-Foreign
AVAV,Aerospace/Defense
AVB,Finance-Property REIT
AVBP,Medical-Biomed/Biotech
AVD,Chemicals-Agricultural
AVDE,Finance-ETF / ETN
AVDL,Medical-Biomed/Biotech
AVDS,Finance-ETF / ETN
AVDV,Finance-ETF / ETN
AVDX,Computer Sftwr-Financial
AVEE,Finance-ETF / ETN
AVEM,Finance-ETF / ETN
AVES,Finance-ETF / ETN
AVGE,Finance-ETF / ETN
AVGO,Elec-Semicondctor Fablss
AVGR,Medical-Products
AVGV,Finance-ETF / ETN
AVHI,Finance-Blank Check
AVIE,Finance-ETF / ETN
AVIG,Finance-ETF / ETN
AVIR,Medical-Biomed/Biotech
AVIV,Finance-ETF / ETN
AVK,Finance-Publ Inv Fd-Bal
AVLC,Finance-ETF / ETN
AVLV,Finance-ETF / ETN
AVMA,Finance-ETF / ETN
AVMC,Finance-ETF / ETN
AVMU,Finance-ETF / ETN
AVMV,Finance-ETF / ETN
AVNM,Finance-ETF / ETN
AVNS,Medical-Supplies
AVNT,Chemicals-Plastics
AVNV,Finance-ETF / ETN
AVNW,Telecom-Infrastructure
AVO,Agricultural Operations
AVPT,Computer Sftwr-Database
AVRE,Finance-ETF / ETN
AVRO,Medical-Biomed/Biotech
AVSC,Finance-ETF / ETN
AVSD,Finance-ETF / ETN
AVSE,Finance-ETF / ETN
AVSF,Finance-ETF / ETN
AVSU,Finance-ETF / ETN
AVT,Electronic-Parts
AVTA,Computer Sftwr-Financial
AVTE,Medical-Biomed/Biotech
AVTR,Medical-Research Eqp/Svc
AVTX,Medical-Biomed/Biotech
AVUS,Finance-ETF / ETN
AVUV,Finance-ETF / ETN
AVXC,Finance-ETF / ETN
AVXL,Medical-Biomed/Biotech
AVY,Office Supplies Mfg
AWAY,Finance-ETF / ETN
AWEG,Finance-ETF / ETN
AWF,Finance-Publ Inv Fd-Glbl
AWH,Medical-Products
AWI,Bldg-Constr Prds/Misc
AWIN,Aerospace/Defense
AWK,Utility-Water Supply
AWP,Finance-Publ Inv Fd-Glbl
AWR,Utility-Water Supply
AWRE,Telecom-Infrastructure
AWX,Pollution Control
AX,Finance-Savings & Loan
AXAC,Finance-Blank Check
AXAHY,Insurance-Diversified
AXDX,Medical-Products
AXGN,Medical-Products
AXIL,Consumer Prod-Electronic
AXL,Auto/Truck-Original Eqp
AXLA,Medical-Biomed/Biotech
AXNX,Medical-Systems/Equip
AXON,Security/Sfty
AXP,Finance-CrdtCard/PmtPr
AXR,Real Estate Dvlpmt/Ops
AXS,Insurance-Prop/Cas/Titl
AXSM,Medical-Biomed/Biotech
AXTA,Chemicals-Paints
AXTI,Elec-Semiconductor Mfg
AY,Energy-Alternative/Other
AYI,Bldg-Constr Prds/Misc
AYRO,Auto Manufacturers
AYRWF,Consumer Prod-Specialty
AYTU,Medical-Biomed/Biotech
AZ,Aerospace/Defense
AZEK,Bldg-Constr Prds/Misc
AZN,Medical-Diversified
AZO,Retail/Whlsle-Auto Parts
AZPN,Computer Sftwr-Enterprse
AZREF,Energy-Solar
AZTA,Medical-Biomed/Biotech
AZTD,Finance-ETF / ETN
AZTR,Medical-Biomed/Biotech
AZUL,Transportation-Airline
AZZ,Electrical-Power/Equipmt
B,Metal Proc & Fabrication
BA,Aerospace/Defense
BAB,Finance-ETF / ETN
BABA,Retail-Internet
BABX,Finance-ETF / ETN
BAC,Banks-Money Center
BACA,Finance-Blank Check
BACK,Medical-Outpnt/Hm Care
BAER,Aerospace/Defense
BAESY,Aerospace/Defense
BAFN,Banks-Southeast
BAH,Comml Svcs-Consulting
BAK,Chemicals-Basic
BALI,Finance-ETF / ETN
BALL,Containers/Packaging
BALT,Finance-ETF / ETN
